School Year,School Code,Organization,Assessment Name,ContentArea,Grade,PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
2015,616,Nellie Hughes Stokes Elementary School,Smarter Balanced Summative Assessment,MATH,3rd Grade,59.41,2461.04,442.0,17.68,55.25,,,,,,,,110.5,442.0,,,221.0,,73.66666666666667,,,,,,442.0,,63.142857142857146,442.0,,442.0,442.0,442.0,442.0,,,,
2015,616,Nellie Hughes Stokes Elementary School,Smarter Balanced Summative Assessment,MATH,4th Grade,53.68,2489.45,442.0,17.68,55.25,,,,,,,,110.5,442.0,,,221.0,,73.66666666666667,,,,,,442.0,,63.142857142857146,442.0,,442.0,442.0,442.0,442.0,,,,
2015,616,Nellie Hughes Stokes Elementary School,Smarter Balanced Summative Assessment,MATH,5th Grade,59.77,2540.94,442.0,17.68,55.25,,,,,,,,110.5,442.0,,,221.0,,73.66666666666667,,,,,,442.0,,63.142857142857146,442.0,,442.0,442.0,442.0,442.0,,,,
2015,616,Nellie Hughes Stokes Elementary School,Smarter Balanced Summative Assessment,MATH,All Students,57.6,,442.0,17.68,55.25,,,,,,,,110.5,442.0,,,221.0,,73.66666666666667,,,,,,442.0,,63.142857142857146,442.0,,442.0,442.0,442.0,442.0,,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,ELA,3rd Grade,83.59,2489.62,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,ELA,4th Grade,85.44,2531.53,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,ELA,5th Grade,54.29,2518.05,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,ELA,All Students,75.0,,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,MATH,3rd Grade,78.91,2484.03,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,MATH,4th Grade,83.5,2535.26,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,MATH,5th Grade,40.0,2501.51,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
