PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
78.41,,722.0,20.62857142857143,90.25,,,,,,,,144.4,722.0,,,361.0,,180.5,,,,722.0,722.0,,,72.2,722.0,722.0,722.0,,722.0,,103.14285714285714,,,
60.19,,552.0,18.4,61.333333333333336,,,,,,,,110.4,552.0,,,276.0,,78.85714285714286,,,,,,,,61.333333333333336,552.0,,552.0,552.0,552.0,,,,,
62.71,,579.0,17.545454545454547,72.375,,,,,,,,82.71428571428571,579.0,,,289.5,,115.8,,,,,579.0,,,44.53846153846154,579.0,579.0,579.0,,579.0,,144.75,,,
72.54,,613.0,17.514285714285716,87.57142857142857,,,,,,,,102.16666666666669,613.0,,,306.5,,76.625,,,,,613.0,,,40.86666666666667,613.0,613.0,613.0,,613.0,,122.6,,,
69.33,,563.0,18.161290322580644,62.55555555555556,,,,,,,,112.6,563.0,,,281.5,,93.83333333333331,,,,563.0,,,,112.6,563.0,,563.0,563.0,563.0,,,,,
39.05,,1352.0,18.52054794520548,71.15789473684211,1352.0,,,,,,,79.52941176470588,1352.0,,,270.4,,135.2,,,,1352.0,,338.0,,79.52941176470588,676.0,,1352.0,270.4,450.6666666666667,1352.0,270.4,,,
61.02,,523.0,19.37037037037037,130.75,,,,,,,,104.6,523.0,,,261.5,,74.71428571428571,,,,523.0,523.0,,523.0,65.375,523.0,,523.0,523.0,523.0,523.0,,,,
55.45,,627.0,25.08,44.785714285714285,,,,,,,,125.4,627.0,,,313.5,,89.57142857142857,,,,,627.0,,,78.375,627.0,,627.0,627.0,627.0,627.0,,,,
47.35,,563.0,21.653846153846157,70.375,,,,,,,,112.6,563.0,,,281.5,,80.42857142857143,,,,,563.0,,,93.83333333333331,563.0,,563.0,563.0,563.0,563.0,,,,
46.62,,1024.0,22.26086956521739,78.76923076923077,,,,,,,,113.77777777777776,1024.0,,,341.3333333333333,,113.77777777777776,,,,,,,1024.0,170.66666666666666,512.0,,1024.0,512.0,512.0,,,,,
43.13,,1043.0,19.67924528301887,86.91666666666667,,,,,,,,130.375,1043.0,,,347.6666666666667,,149.0,1043.0,,,1043.0,,,521.5,208.6,1043.0,,1043.0,347.6666666666667,521.5,1043.0,,,,
48.5,,457.0,18.28,65.28571428571429,457.0,,,,,,,114.25,,,,228.5,,91.4,,,,,,,,91.4,457.0,,457.0,,457.0,,457.0,,,
29.21,,461.0,17.73076923076923,92.2,,,,,,,,115.25,,,,461.0,,92.2,,,,,,,,65.85714285714286,461.0,,461.0,461.0,461.0,,461.0,461.0,,
44.81,,575.0,22.115384615384617,115.0,,,,,,,,143.75,575.0,,,287.5,,143.75,,,,,,,,71.875,575.0,,575.0,575.0,575.0,,575.0,,,
42.6,,437.0,20.80952380952381,54.625,,,,,,,,109.25,437.0,,,437.0,,87.4,,,,,437.0,,,29.133333333333333,437.0,,437.0,437.0,437.0,,,,,
35.06,,860.0,22.05128205128205,37.391304347826086,,,,,,860.0,,122.85714285714286,860.0,,,286.6666666666667,,122.85714285714286,860.0,,,,,,,95.55555555555556,860.0,,860.0,430.0,430.0,860.0,860.0,286.6666666666667,,
24.79,,719.0,16.72093023255814,42.294117647058826,719.0,,,,,,,51.35714285714285,719.0,,,143.8,,79.88888888888889,719.0,,,,,359.5,719.0,89.875,719.0,,719.0,359.5,359.5,719.0,,119.83333333333331,,
68.66,,475.0,19.0,118.75,,,,,,,,95.0,475.0,,,237.5,,95.0,,,,,,,,79.16666666666667,475.0,,475.0,475.0,475.0,,,,,
76.38,,588.0,20.27586206896552,117.6,,,,,,,,117.6,588.0,,,294.0,,98.0,,,,,,,,84.0,588.0,,588.0,294.0,588.0,588.0,,,,
61.93,,521.0,17.96551724137931,260.5,,,,,,,,104.2,521.0,,,260.5,,130.25,,,,,,,,34.733333333333334,521.0,,521.0,521.0,521.0,521.0,,,,
46.92,,500.0,17.24137931034483,100.0,,,,,,,,83.33333333333333,500.0,,,250.0,,83.33333333333333,,,,,,500.0,500.0,41.66666666666666,500.0,,500.0,500.0,500.0,,,,,
55.16,,883.0,22.64102564102564,58.86666666666667,,,,,,,,126.14285714285714,883.0,,,294.3333333333333,,98.11111111111111,,,,,,883.0,,126.14285714285714,883.0,,883.0,441.5,441.5,883.0,,,,
51.26,,403.0,23.705882352941178,50.375,,,,,,,,67.16666666666667,403.0,,,201.5,,100.75,,,,,,403.0,,201.5,403.0,,403.0,403.0,403.0,403.0,403.0,,,
37.5,,1434.0,18.384615384615383,95.6,1434.0,,,,,,,119.5,717.0,,,239.0,,102.42857142857144,,,,,,358.5,,239.0,717.0,,1434.0,358.5,358.5,1434.0,,,,
59.53,,475.0,23.75,59.375,,,,,,,,79.16666666666667,475.0,,,475.0,,158.33333333333334,,,,,,,,237.5,475.0,,475.0,475.0,,,475.0,,,
56.83,,503.0,18.62962962962963,71.85714285714286,,,,,,,,100.6,503.0,,,251.5,,83.83333333333333,,,503.0,503.0,503.0,,,55.888888888888886,503.0,,503.0,503.0,503.0,503.0,251.5,,,
65.79,,544.0,18.133333333333333,90.66666666666669,544.0,,,,,,,136.0,,,,272.0,,90.66666666666669,,,,544.0,544.0,544.0,,68.0,544.0,,544.0,544.0,544.0,544.0,,,,
57.43,,320.0,18.823529411764707,80.0,,,,,,,,80.0,,,,160.0,,64.0,320.0,,,,320.0,320.0,,160.0,320.0,,320.0,,,320.0,320.0,,,
50.38,,825.0,21.153846153846157,68.75,825.0,,,,,,,137.5,825.0,,,412.5,,117.85714285714286,,,,825.0,,825.0,,165.0,825.0,,825.0,412.5,825.0,825.0,,825.0,,
51.33,,770.0,23.33333333333333,55.0,,,,,,,,110.0,770.0,,,385.0,,128.33333333333334,,,,,770.0,770.0,,110.0,770.0,770.0,770.0,385.0,770.0,770.0,,,,
75.09,,1361.0,20.014705882352946,136.1,1361.0,,,,,,,123.72727272727272,1361.0,,,340.25,,123.72727272727272,1361.0,,,1361.0,,340.25,,151.22222222222223,680.5,1361.0,1361.0,680.5,453.6666666666667,1361.0,,680.5,,
84.63,,640.0,19.393939393939394,106.66666666666669,,,,,,,,128.0,640.0,,,320.0,,80.0,,,,,,,,213.33333333333331,640.0,,640.0,640.0,640.0,640.0,640.0,,,
69.7,,490.0,17.5,81.66666666666667,,,,,,,,98.0,490.0,,,245.0,,70.0,,,,,490.0,490.0,,122.5,490.0,,490.0,490.0,490.0,490.0,490.0,,,
65.98,,905.0,22.07317073170732,69.61538461538461,,,,,,,,150.83333333333334,905.0,,,452.5,,113.125,,,,,905.0,905.0,,82.27272727272727,905.0,,905.0,452.5,905.0,905.0,,905.0,,
50.17,,1552.0,20.69333333333333,141.0909090909091,,,,,1552.0,,,110.85714285714286,776.0,,,388.0,,141.0909090909091,,,,1552.0,,517.3333333333334,1552.0,221.7142857142857,776.0,1552.0,1552.0,388.0,517.3333333333334,1552.0,,,,
64.72,,569.0,19.620689655172413,94.83333333333331,,,,,,,,94.83333333333331,569.0,,,284.5,,81.28571428571429,,,,,569.0,569.0,,94.83333333333331,569.0,569.0,569.0,569.0,569.0,569.0,569.0,,,
62.68,,562.0,20.071428571428573,93.66666666666669,562.0,,,,,,,140.5,,,,281.0,,187.33333333333331,,,,,562.0,112.4,,140.5,562.0,,562.0,562.0,562.0,562.0,,,,
45.31,,501.0,17.275862068965516,125.25,,,,,,,,125.25,,,,250.5,,125.25,,,,501.0,501.0,,,501.0,501.0,,501.0,501.0,,,,,,
